,datadate,gvkey1,real roe,prccq,real rd,roe,rd/rev,p/e,epsfxq
407,2003,PDLI,-0.1625160874443213,17.509838361706493,5.330786747961508,-0.15022314115826427,5.034026253955205,-27.136842337211455,-0.7240139177684497
408,2004,PDLI,-0.03534944607403457,20.55155898383617,1.3228349905821544,-0.03500037550270455,1.3276136707682509,-138.0391488490689,-0.14895940139177685
409,2005,PDLI,-0.06481328352960186,28.296336155898388,0.5613546435871996,-0.065924736618691,0.5702288956375393,-94.46348782982918,-0.3187678959401392
410,2006,PDLI,-0.19187194278148867,20.052039633615593,0.606414940375735,-0.1739777361690558,0.6091095160428068,-54.9377557133315,-0.708178876789594
411,2007,PDLI,-0.030690884734343296,17.944135203963363,1.0521746121070825,-0.028484244498806086,1.023490700495395,-105.50416180691185,-0.19357081788767896
412,2008,PDLI,-0.1152653806772575,6.506805413520397,,-0.017073614788213114,1.023490700495395,18.997275886022013,0.3425116429182113
413,2009,PDLI,-0.06866160359463688,6.961322680541353,,-0.08137190780995254,1.023490700495395,38.944044971541736,0.18357125116429185
414,2010,PDLI,0.07545144394198322,6.1372651322680545,,0.05493688805307643,1.023490700495395,-28.967745595502905,-0.13754664287488352
415,2011,PDLI,-0.1906370396479221,6.138163726513227,,-0.19081108680416248,1.023490700495395,25.190938112658497,0.24483124533571252
416,2012,PDLI,-0.7252869851149407,7.095007816372652,,-0.6948875147727188,1.023490700495395,20.937926142492806,0.33976548312453364
417,2013,PDLI,0.538307677396047,8.390059500781636,,-0.08948063914030925,1.023490700495395,21.601831385666358,0.3893379765483125
418,2014,PDLI,0.11960593957479525,7.706738005950078,,0.13364160448032858,1.023490700495395,22.973202519490737,0.34801493379765486
419,2015,PDLI,0.14451283996597467,3.7036721738005958,,0.14206875549410955,1.023490700495395,6.438895942355693,0.5915148014933798
420,2016,PDLI,-0.013682400456433019,2.24112736721738,0.05731903648127335,-0.0105213700059079,0.057600351689406845,-27.07979140452341,-0.04616484851985065
421,2017,PDLI,0.02640532456938845,2.795597112736722,0.019619452593051107,0.02670382901304747,0.021369570779634757,18.724652735145266,0.15114138351514803
422,2018,PDLI,0.022306753140334267,2.8706855597112737,0.03112329613468742,0.02177297633217336,0.030649580043764228,23.303761938957727,0.11738411413835151
423,1962,PFE,,,,,,,
424,1963,PFE,,,,,,,
425,1964,PFE,,,,,,,
426,1965,PFE,,,,,,,
427,1966,PFE,,,,,,,
428,1967,PFE,,,,,,,
429,1968,PFE,,,,,,,
430,1969,PFE,,,,,,,
431,1970,PFE,,,,,,,
432,1971,PFE,0.04514451054975779,41.62625930421423,,,,,
433,1972,PFE,0.04410327547739305,42.867787625930426,,,,,
434,1973,PFE,0.045387909342593506,43.200911778762595,,,,,
435,1974,PFE,0.04068546246636525,32.023845091177876,,,,,
436,1975,PFE,0.04114886919097482,27.434977384509118,,,,,
437,1976,PFE,0.042600344979433914,29.452880997738454,,,,,
438,1977,PFE,0.042953814062798044,27.307257788099776,,,,39.26352991925763,0.6958344510382183
439,1978,PFE,0.04366463294013928,33.21284322577881,,,,43.20945919514977,0.7688495834451039
440,1979,PFE,0.040548854417093334,38.73752128432258,,,,48.07806417144399,0.8070168849583447
441,1980,PFE,0.04011013078030161,52.676598752128434,,,,60.339314566649826,0.8737017016884958
442,1981,PFE,0.0437463976945245,52.31484265987521,,,,53.49290191788201,0.9788373701701689
443,1982,PFE,0.04572435572567545,68.79121898426598,,,,60.911892431784715,1.135474883737017
444,1983,PFE,0.05382945545996412,36.61617912189843,,,,50.61101799011514,0.7222465474883738
445,1984,PFE,0.05147872845168432,41.515261617912195,,0.05170654696390305,,53.16150470660969,0.7811552246547488
446,1985,PFE,0.04706241665678458,50.314489026161795,,0.04784796996149928,,60.127762074861934,0.8379691155224654
447,1986,PFE,0.04608536266038231,60.822643948902616,,0.04669549552126617,,64.19075422173005,0.9487737969115523
448,1987,PFE,0.03498437740101419,48.91421976439489,,0.03637039139908088,,57.58485949038591,0.8464818773796912
449,1988,PFE,0.032730061590764206,57.61287892197644,,0.034541805330537766,,66.34884241737355,0.8847036481877381
450,1989,PFE,0.01910130864798042,69.3001362878922,0.10120481927710842,0.021825968991868096,,125.80220414717512,0.591766470364819
451,1990,PFE,0.030230241959107156,79.66986751362879,0.11337030191004313,0.031887823480611484,,84.0683911274612,0.9680091766470367
452,1991,PFE,0.00017784111556174968,82.06501698675137,0.12047346232839692,0.005386996832407877,,82.48701549643306,0.07917080091766479
453,1992,PFE,0.05865154460988519,72.70525650169867,0.12690668173180628,0.058311428231574924,,87.33456326671973,0.8329399170800917
454,1993,PFE,0.07398586355255071,68.12129552565017,0.1435753066559421,0.06220695121201756,,61.58903312242557,0.759602293991708
455,1994,PFE,0.07655812985450745,76.36978712955256,0.14598111417340623,0.07683105883070422,,73.35226902602881,1.0416999602293993
456,1995,PFE,0.07399337319023266,62.41768697871296,0.1546842546368837,0.07445070775857311,,96.78228655970844,0.645548169996023
457,1996,PFE,0.0719588806396345,82.53039176869788,0.1550632911392405,0.07242661824355492,,107.05202373435701,0.7712835548169997
