,datadate,gvkey1,gvkey2,score,roe_spread,rd/rev_spread,MARKCAP_1,MARKCAP_2
175,2011,LLY,PRGO,0.0262,0.005569492,0.186334574,48116588.72,9076825.1
176,2011,TECH,AMGN,0.0232,-0.002792329,-0.121226385,2518179.66,51085476
177,2011,VRTX,PRGO,0.0231,0.111451399,0.236110316,6950985.84,9076825.1
178,2011,IART,AMGN,0.0226,-0.035981758,-0.146410381,827199.73,51085476
179,2011,IART,ALXN,0.0145,-0.033777505,-0.088291557,827199.73,13264608.5
180,2011,ALXN,IDXX,0.0113,-0.025931764,0.088505668,13264608.5,4240572.96
181,2011,IART,BMY,0.0104,-0.043811041,-0.118642381,827199.73,59715307.68
182,2011,TECH,GILD,0.0097,-0.055484924,-0.087176354,2518179.66,30824628.58
183,2011,LLY,TECH,0.0089,0.021711502,0.13157216,48116588.72,2518179.66
184,2011,GILD,IDXX,0.007,0.028965084,0.112574462,30824628.58,4240572.96
185,2011,ALXN,PRGO,0.0061,-0.015553933,0.117869975,13264608.5,9076825.1
186,2011,IDXX,IART,0.0058,0.059709269,-0.000214111,4240572.96,827199.73
187,2011,VRTX,TECH,0.0057,0.127593409,0.181347902,6950985.84,2518179.66
188,2011,TECH,BMRN,0.0036,0.07681593,-0.443472718,2518179.66,3946480.2
189,2011,IART,VRTX,0.0034,-0.160782838,-0.206531898,827199.73,6950985.84
190,2011,IDXX,AMGN,0.0033,0.023727511,-0.146624493,4240572.96,51085476
191,2011,TECH,MRK,0.0024,0.016699838,-0.102375097,2518179.66,114906621.7
192,2011,IDXX,MYL,0.0007,0.032440164,0.015426009,4240572.96,9156509.88
193,2011,MYL,IART,0,0.027269105,-0.01564012,9156509.88,827199.73
194,2012,IMGN,VRTX,0.2885,-0.118432174,7.516389556,1073397,9104325.3
195,2012,UTHR,BMRN,0.2548,0.123465529,-0.46413204,2679867.72,6189802.8
196,2012,UTHR,IMGN,0.2233,0.254126452,-7.883587621,2679867.72,1073397
197,2012,IMGN,BMRN,0.2141,-0.130660924,7.41945558,1073397,6189802.8
198,2012,LLY,BMY,0.1942,0.001609612,-0.011821645,57233541.96,53795954.51
199,2012,ALXN,IMGN,0.1773,0.220056628,-7.842923495,18250334.34,1073397
200,2012,GILD,BMY,0.1772,0.022787441,-0.085550612,55822000,53795954.51
201,2012,IMGN,AMGN,0.1748,-0.221293621,7.836625475,1073397,65193060
202,2012,UTHR,ALXN,0.1711,0.034069825,-0.040664125,2679867.72,18250334.34
203,2012,BMRN,ALXN,0.1691,-0.089395704,0.423467915,6189802.8,18250334.34
204,2012,BMY,AMGN,0.1631,0.014004443,0.046252306,53795954.51,65193060
205,2012,VRTX,ALXN,0.1624,-0.101624453,0.326533939,9104325.3,18250334.34
206,2012,UTHR,VRTX,0.1592,0.135694278,-0.367198064,2679867.72,9104325.3
207,2012,BMY,UTHR,0.1523,-0.018828388,0.093214452,53795954.51,2679867.72
208,2012,UTHR,AMGN,0.1511,0.032832831,-0.046962146,2679867.72,65193060
209,2012,BMRN,AMGN,0.1509,-0.090632697,0.417169895,6189802.8,65193060
210,2012,ALXN,AMGN,0.1469,-0.001236994,-0.00629802,18250334.34,65193060
211,2012,UTHR,VVUS,0.1463,0.318495895,-24.03491776,2679867.72,1350924.3
212,2012,GILD,AMGN,0.1438,0.036791884,-0.039298306,55822000,65193060
213,2012,GILD,VRTX,0.1432,0.139653331,-0.359534224,55822000,9104325.3
214,2012,AMGN,VRTX,0.1424,0.102861447,-0.320235919,65193060,9104325.3
215,2012,AMGN,REGN,0.1423,-0.319630074,-0.220137947,65193060,16289970.63
216,2012,PFE,MYL,0.1404,0.024380132,0.075665594,184648202.1,10848377.25
217,2012,BMY,PFE,0.1396,-0.016615053,0.112160368,53795954.51,184648202.1
218,2012,LLY,AMGN,0.1349,0.015614055,0.034430662,57233541.96,65193060
219,2012,VVUS,BMRN,0.1322,-0.195030366,23.57078572,1350924.3,6189802.8
220,2012,AMGN,PFE,0.1317,-0.030619497,0.065908062,65193060,184648202.1
221,2012,BMRN,GILD,0.1311,-0.127424582,0.4564682,6189802.8,55822000
222,2012,REGN,IMGN,0.1304,0.540923695,-7.616487528,16289970.63,1073397
223,2012,BMY,BMRN,0.1303,0.104637141,-0.370917589,53795954.51,6189802.8
224,2012,UTHR,GILD,0.1299,-0.003959053,-0.00766384,2679867.72,55822000
225,2012,BMY,MRK,0.1289,0.03917021,0.070080763,53795954.51,124460547.7
226,2012,MYL,UTHR,0.1276,-0.026593467,-0.09461151,10848377.25,2679867.72
227,2012,MRK,AMGN,0.1269,-0.025165766,-0.023828457,124460547.7,65193060
228,2012,MYL,IMGN,0.1265,0.227532986,-7.978199131,10848377.25,1073397
229,2012,REGN,VRTX,0.1257,0.422491521,-0.100097972,16289970.63,9104325.3
230,2012,IMGN,GILD,0.1243,-0.258085505,7.875923781,1073397,55822000
231,2012,BMY,MYL,0.1235,0.007765079,0.187825962,53795954.51,10848377.25
232,2012,BMY,IMGN,0.1234,0.235298065,-7.790373169,53795954.51,1073397
233,2012,PFE,LLY,0.1232,0.015005441,-0.100338724,184648202.1,57233541.96
234,2012,LLY,BMRN,0.123,0.106246753,-0.382739233,57233541.96,6189802.8
235,2012,VVUS,VRTX,0.1191,-0.182801616,23.66771969,1350924.3,9104325.3
236,2012,REGN,ALXN,0.1188,0.320867067,0.226435967,16289970.63,18250334.34
237,2012,LLY,GILD,0.1183,-0.021177829,0.073728967,57233541.96,55822000
238,2012,VVUS,AMGN,0.1165,-0.285663063,23.98795561,1350924.3,65193060
239,2012,GILD,MRK,0.1131,0.061957651,-0.015469849,55822000,124460547.7
240,2012,ALXN,BMY,0.1113,-0.015241437,-0.052550326,18250334.34,53795954.51
241,2012,VRTX,BMY,0.1111,-0.11686589,0.273983613,9104325.3,53795954.51
242,2012,MRK,LLY,0.109,-0.040779822,-0.058259118,124460547.7,57233541.96
243,2012,MYL,GILD,0.1083,-0.030552519,-0.10227535,10848377.25,55822000
244,2012,BMY,VVUS,0.1073,0.299667507,-23.94170331,53795954.51,1350924.3
245,2012,REGN,BMRN,0.106,0.410262771,-0.197031948,16289970.63,6189802.8
246,2012,IMGN,LLY,0.1053,-0.236907676,7.802194813,1073397,57233541.96
247,2012,VRTX,LLY,0.1046,-0.118475502,0.285805257,9104325.3,57233541.96
248,2012,MRK,UTHR,0.1045,-0.057998598,0.023133689,124460547.7,2679867.72
249,2012,ALXN,GILD,0.1041,-0.038028878,0.033000285,18250334.34,55822000
250,2012,MYL,BMRN,0.1031,0.096872062,-0.558743551,10848377.25,6189802.8
251,2012,UTHR,LLY,0.1015,0.017218776,-0.081392807,2679867.72,57233541.96
