date,T-Bill,RMRF,SMB,HML,UMD
201503,0.00,-1.12,3.03,-0.46,3.02
201504,0.00,0.59,-2.98,1.85,-7.39
201505,0.00,1.36,0.87,-1.37,6.01
201506,0.00,-1.53,2.83,-0.79,3.03
201507,0.00,1.54,-4.15,-4.12,10.33
201508,0.00,-6.04,0.49,2.66,-2.12
201509,0.00,-3.08,-2.64,0.53,5.33
201510,0.00,7.75,-1.97,-0.07,-4.04
201511,0.00,0.56,3.64,-0.51,2.32
201512,0.01,-2.17,-2.83,-2.59,3.45
201601,0.01,-5.77,-3.35,2.08,1.33
201602,0.02,-0.07,0.79,-0.50,-4.11
201603,0.02,6.96,0.87,1.16,-5.13
201604,0.01,0.92,0.69,3.26,-6.27
201605,0.01,1.78,-0.27,-1.81,1.92
201606,0.02,-0.05,0.65,-1.47,4.22
201607,0.02,3.95,2.64,-1.11,-2.99
201608,0.02,0.50,1.16,3.34,-3.12
201609,0.02,0.25,2.02,-1.49,-0.58
201610,0.02,-2.02,-4.39,4.16,0.65
201611,0.01,4.86,5.47,8.29,-4.15
201612,0.03,1.82,0.10,3.58,-0.42
201701,0.04,1.94,-1.04,-2.78,-0.94
201702,0.04,3.57,-2.02,-1.79,-1.65
201703,0.03,0.17,1.20,-3.17,-0.92
201704,0.05,1.09,0.71,-1.87,0.55
201705,0.06,1.06,-2.54,-3.78,1.45
201706,0.06,0.78,2.17,1.35,-0.26
201707,0.07,1.87,-1.41,-0.29,1.63
201708,0.09,0.16,-1.67,-2.24,3.52
201709,0.09,2.51,4.55,3.03,-1.17
201710,0.09,2.25,-1.94,-0.05,4.30
201711,0.08,3.12,-0.65,-0.04,-0.73
201712,0.09,1.06,-1.28,0.14,-1.65
201801,0.11,5.58,-3.03,-1.37,3.93
201802,0.11,-3.65,0.26,-1.19,3.96
201803,0.12,-2.35,3.95,-0.12,-1.24
201804,0.14,0.29,1.12,0.54,0.20
201805,0.14,2.65,5.23,-3.16,3.81
201806,0.14,0.48,1.18,-2.38,-2.39
201807,0.16,3.19,-2.17,0.43,-1.60
201808,0.16,3.44,1.15,-4.08,5.31
201809,0.15,0.06,-2.37,-1.30,-0.07
201810,0.19,-7.68,-4.76,3.44,-1.82
201811,0.18,1.69,-0.79,0.25,-1.42
201812,0.19,-9.55,-2.63,-1.47,1.84
201901,0.21,8.41,3.01,-0.62,-8.68
201902,0.18,3.40,2.06,-2.84,0.79
201903,0.19,1.10,-3.13,-4.07,2.18
201904,0.21,3.96,-1.68,1.93,-2.61
201905,0.21,-6.94,-1.20,-2.39,7.61
201906,0.18,6.93,0.33,-1.08,-2.23
201907,0.19,1.19,-2.07,0.14,2.68
201908,0.16,-2.58,-2.41,-4.99,7.60
201909,0.18,1.44,-0.90,6.71,-6.85
201910,0.15,2.06,0.25,-2.07,0.24
201911,0.12,3.87,0.87,-1.86,-2.62
201912,0.14,2.77,0.68,1.83,-2.13
202001,0.13,-0.11,-3.11,-6.26,5.55
202002,,,,,
